Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
GALLEGOS,0.14958775,0.28257695,0.14958774,0.28257692,2
GAMBIA,0.25750113,0.3807602,0.25750113,0.38076013,2
GANGES,0.18845835,0.37836576,0.18845785,0.37836558,1
GARONNE (also RIO GARONA),0.18227778,0.28074694,0.18227775,0.28074694,3
GASCOYNE,0.16836411,0.26923844,0.1683641,0.26923832,1
GEBA (also KAYANGA),0.20761418,0.276265,0.20761411,0.2762649,1
GEORGE,0.19069089,0.3408752,0.19069095,0.34087518,1
GILBERT,0.1853487,0.3280605,0.18534867,0.32806033,1
GLOMAA,0.185308,0.2847376,0.18530795,0.2847376,1
GODAVARI,0.31829774,0.6503982,0.31829777,0.65039825,2
GONO,0.13343093,0.24194871,0.13343091,0.24194872,2
GOTA,0.1548433,0.26486057,0.15484324,0.26486057,1
GOURITZ,0.15443264,0.30666792,0.1544327,0.3066679,2
GRANDE DE MATAGALPA,0.17913848,0.27383745,0.17913842,0.27383742,2
GREAT FISH (also GROOT-VIS),0.15766685,0.36413673,0.15766682,0.36413637,2
GREAT KEI (also GROOT-KEI),0.16877683,0.24217197,0.16877684,0.24217199,2
GREAT SALT LAKE,0.2694724,0.44746536,0.2694725,0.44746536,1
GREAT SCARCIES (also KOLENTE),0.13942933,0.25875705,0.13942935,0.25875705,2
GUADALQUIVIR,0.17054576,0.28990167,0.17054571,0.28990152,1
GUADIANA,0.1774245,0.3161731,0.17742443,0.31617302,1
GUAYAS,0.17915782,0.27614704,0.17915778,0.276147,1
GUIR,0.19456986,0.29365405,0.1945699,0.29365402,2
GURUPI,0.22086939,0.27737778,0.22086939,0.27737784,3
HAI HE,0.1811828,0.29217762,0.18118282,0.29217756,1
HAMUN-I-LORA,0.1782319,0.28711557,0.17823184,0.28711554,1
HAMUN-I-MASHKEL,0.16198894,0.27631468,0.1619889,0.2763146,2
HAMUN,0.20330235,0.29263932,0.2033023,0.29263926,2
HAN-GANG,0.16634822,0.29480737,0.16634822,0.29480734,3
HANJIANG XIXI,0.16899848,0.39661452,0.16899851,0.39661074,2
HAR US NUUR,0.22481555,0.35464182,0.22481549,0.3546419,1
HARI,0.17333883,0.28701663,0.17333883,0.28701657,1
HAYES,0.17853269,0.31915045,0.17853273,0.3191504,3
HINGOL,0.14378595,0.28692102,0.14378597,0.28692102,1
HODNA,0.16363879,0.39107865,0.16363877,0.39107883,1
HONDO,0.15277311,0.24920306,0.15277307,0.24920304,1
HORNADAY,0.16849603,0.266686,0.16849586,0.2666859,1
HORTON,0.1670932,0.26647967,0.16709308,0.2664796,1
HUAI HE,0.1637701,0.29929718,0.16377003,0.29929712,1
HUASCO,0.17845199,0.2627006,0.17845194,0.2627005,1
HUDSON,0.16980182,0.27424788,0.1698018,0.2742479,1
IIJOKI,0.14722401,0.26195794,0.14722396,0.2619579,1
INCOMATI (also KOMATI),0.14686254,0.2766356,0.14686254,0.27663547,3
INDIGIRKA,0.19145054,0.6418317,0.1914505,0.6418317,1
INDUS,0.27051926,0.35885042,0.2705192,0.35885036,2
IRRAWADDY,0.3615264,0.3379948,0.3615258,0.33799464,1
ISHIKARI,0.15929909,0.27155775,0.1592991,0.27155775,1
ITAPECURU,0.18848827,0.26730874,0.18848825,0.26730874,1
ITAPICURU,0.17538935,0.32174012,0.17538938,0.32174,3
JACUI,0.1987935,0.27552623,0.1987935,0.2755263,1
JAGUARIBE,0.1798039,0.29540184,0.1798038,0.2954018,1
JAMES,0.17675377,0.2621534,0.17675376,0.26215336,4
JEQUITINHONHA,0.18984622,0.2743643,0.18984622,0.27436423,2
JOKULSA A FJOLLUM,0.15206134,0.2439213,0.15206131,0.24392131,3
JUBBA (also GENALE WENZ),0.21273248,0.37960362,0.21273248,0.3796035,2
KALIXALVEN,0.125384,0.27400908,0.12538399,0.27400905,1
KAMCHATKA,0.17962897,0.33529752,0.17962901,0.33529752,2
KAPUAS,0.21308284,0.41222847,0.2130829,0.41222847,1
KARNAPHULI,0.16641146,0.26382574,0.16641147,0.2638257,1
KELANTAN,0.17010386,0.2391188,0.17010382,0.2391188,2
KEM,0.12777616,0.2607876,0.12777616,0.2607876,3
KEMIJOKI,0.1497576,0.39267117,0.14975756,0.3926712,1
KHATANGA,0.2300123,0.3186974,0.23001239,0.31869727,2
KINABATANGAN,0.15909293,0.25091264,0.15909292,0.25091264,2
KISO,0.13539958,0.27561846,0.13539958,0.27561843,1
KITAKAMI,0.20959473,0.2822399,0.20959467,0.28223985,1
KIZILIRMAK,0.16350998,0.27985433,0.16350994,0.27985433,1
KLAMATH,0.17804949,0.40549323,0.17804927,0.40549308,3
KOBUK,0.15264046,0.26309192,0.15264046,0.2630919,4
KOKEMAENJOKI,0.17695506,0.27577856,0.17695498,0.27577847,1
KOLOK,0.15113957,0.26532865,0.15113959,0.26532862,2
KOLYMA,0.2798858,0.8385647,0.27988583,0.8385642,2
KOUILOU,0.17420726,0.26127684,0.1742072,0.26127684,1
KOVDA,0.14353856,0.2738952,0.14353858,0.2738952,3
KRISHNA,0.29777196,0.6541759,0.29777184,0.6541758,3
KUANTAN,0.1573619,0.255792,0.15736192,0.25579196,1
KUBAN,0.18982726,0.2779187,0.18982725,0.27791858,1
KUNENE (also CUNENE),0.19377214,0.32744196,0.1937721,0.32744193,1
KURA,0.1843734,0.27549148,0.18437338,0.27549148,2
KUSKOKWIM,0.15425825,0.2990377,0.15425822,0.2990377,2
KYMIJOKI,0.17940319,0.26205498,0.17940304,0.26205498,2
LA GRANDE,0.18608418,0.2748438,0.18608412,0.2748437,2
LAKE BALKHASH,0.18626615,0.35436016,0.18626614,0.3543601,1
LAKE EYRE,0.3414989,0.36287874,0.34149873,0.36287856,2
LAKE GAIRDNER,0.19409509,0.28786922,0.19409503,0.28786922,1
LAKE NATRON,0.15246174,0.26406962,0.15246174,0.26406962,1
LAKE TORRENS,0.17763542,0.25943178,0.17763539,0.25943175,5
LAKE TURKANA,0.24450707,0.402973,0.24450696,0.4029727,2
LAKE URMIA,0.16789423,0.24992073,0.16789424,0.24992074,1
LAM (also XONGKA),0.17999785,0.2654463,0.17999774,0.2654464,1
LAUCA,0.14403437,0.24565384,0.14403434,0.24565384,2
LEICHHARDT,0.14627685,0.26315787,0.1462768,0.26315784,3
LEMPA,0.17210716,0.2745905,0.17210713,0.27459043,1
LENA,0.22497636,0.36803225,0.22497626,0.36803204,1
LIAO HE,0.18641244,0.34508866,0.18641238,0.34508872,1
LIMARI,0.15250398,0.2609182,0.15250398,0.2609182,2
LIMPOPO,0.20937535,0.3610167,0.20937534,0.36101654,3
LITTLE MECATINA,0.18487988,0.27637577,0.18487987,0.27637574,2
LITTLE SCARCIES (also KABA),0.18141606,0.25378668,0.18141606,0.25378668,2
LOA,0.1793127,0.31596136,0.1793127,0.31596127,4
LOFFA (also LOFA RIVER),0.18910377,0.25766152,0.18910374,0.25766152,2
LOIRE,0.17635405,0.27833754,0.17635404,0.27833742,3
LORENTZ,0.15692735,0.2472605,0.15692736,0.24726051,1
LUAN HE,0.17180824,0.27328303,0.17180823,0.27328306,2
LULEALVEN,0.15207888,0.3157393,0.15207885,0.3157392,2
LURIO,0.1759364,0.38307777,0.17593637,0.38307768,2
MA,0.19486563,0.25473773,0.19486566,0.25473756,1
MAAS (also MEUSE),0.17169511,0.27390975,0.17169511,0.2739097,2
MACKENZIE,0.36158335,0.43322542,0.36158323,0.4332252,3
MAE KLONG,0.16654985,0.26505,0.1665498,0.26505005,2
MAGDALENA,0.19420823,0.460285,0.19420826,0.46028537,1
MAHAKAM,0.1685758,0.608165,0.16857578,0.608165,2
MAHANADI,0.18321688,0.3567489,0.18321683,0.35674873,1
MAHI,0.15936846,0.26461947,0.15936846,0.26461947,1
MAJES,0.15350802,0.24981858,0.153508,0.24981856,1
MAMBERAMO,0.23650831,0.40980622,0.23650828,0.409806,3
MANGOKY,0.20123738,0.33655363,0.20123735,0.33655363,1
MANICOUAGAN,0.1669891,0.26810127,0.16698907,0.26810125,1
MANO (also MANO RIVER),0.1617216,0.25252125,0.16172162,0.25252122,2
"MAPUTO (also LUSUTFU, also USUTU)",0.17456806,0.26081592,0.17456804,0.26081592,2
MAR CHIQUITA,0.17255673,0.2908781,0.17255676,0.29087806,1
MARITSA RIVER,0.16095534,0.28042522,0.16095537,0.2804252,1
MARONI,0.20296663,0.27224246,0.20296662,0.2722424,1
MBINI (also WOLEU),0.19730513,0.25845358,0.19730502,0.25845358,2
MCARTHUR,0.17153816,0.27819157,0.17153813,0.2781916,1
MEARIM,0.1673914,0.3254075,0.1673914,0.32540745,2
MEDJERDA (also MAJARDAH),0.13442251,0.25438324,0.13442253,0.2543832,2
MEGHNA,0.18476024,0.28702572,0.18476024,0.28702572,1
MEKONG,0.36671534,0.3757268,0.366715,0.37572676,2
MELRHIR,0.18214206,0.30404505,0.18214205,0.304045,2
MERIN (also MIRIM),0.15025468,0.36851335,0.1502547,0.36851326,2
MERRIMACK,0.15998226,0.26144302,0.15998226,0.26144302,4
MESSALO,0.19303757,0.2669215,0.19303754,0.2669215,1
MEZEN,0.19328123,0.39015022,0.19328126,0.39014992,1
MIN JIANG,0.17844726,0.29238853,0.17844725,0.2923885,1
MINO (also MINHO),0.1544413,0.2816277,0.15444137,0.2816277,1
MIRA,0.17559144,0.25008628,0.17559144,0.25008625,2
MISSISSIPPI,0.34654963,0.572584,0.34655014,0.5725833,1
MITCHELL,0.14886425,0.31757405,0.14886422,0.31757405,2
MOA (also MAKONA),0.20531423,0.2917355,0.20531419,0.29173538,2
MOBILE RIVER,0.19292754,0.33376837,0.1929275,0.3337682,1
MOGAMI,0.16119097,0.24442594,0.16119097,0.24442594,1
MONO,0.16728328,0.2713678,0.1672833,0.27136773,2
MOOSE,0.17841364,0.35256457,0.17841363,0.35256442,3
MOTAGUA,0.16122864,0.2680973,0.16122861,0.26809722,2
MOTALA STROM,0.15613016,0.266697,0.15613016,0.26669687,2
MOULOUYA,0.22159441,0.31744176,0.22159447,0.31744158,4
MUCURI,0.154797,0.2593538,0.15479693,0.25935376,2
MURCHISON,0.17364983,0.33897546,0.17364985,0.33897543,1
MURRAY,0.28923592,0.47822016,0.289236,0.47822022,2
NADYM,0.1825265,0.32519186,0.1825265,0.32519165,1
NAKDONG,0.14748703,0.26434988,0.147487,0.26434988,2
NARMADA,0.24602282,0.38757402,0.24602303,0.38757384,2
NARVA,0.1830826,0.30582345,0.18308257,0.30582342,1
NASS,0.18621662,0.2588462,0.1862166,0.25884604,1
NATASHQUAN,0.18172196,0.27514005,0.18172187,0.27514002,1
NEGRO,0.19943637,0.47507372,0.19943626,0.4750737,2
NELSON,0.2355048,0.37738547,0.2355048,0.37738544,1
"NEMAN (also NEMUNAS, also NYOMAN)",0.20704399,0.34207904,0.2070439,0.34207892,1
NESTOS (also MESTA),0.14935413,0.27054742,0.14935414,0.27054736,1
NEVA,0.1717628,0.30597955,0.17176269,0.30597943,3
NIGER,0.29652026,0.7528461,0.29652,0.7528462,1
NILE,0.25881955,0.4916375,0.25881898,0.49163735,2
NOATAK,0.16126898,0.26763117,0.16126896,0.26763108,3
NOTTAWAY,0.18007796,0.28923184,0.1800779,0.28923178,1
NTEM,0.2621433,0.29056132,0.26214316,0.2905613,2
NUECES,0.18154022,0.27119553,0.18154019,0.27119553,1
NUSHAGAK,0.15567367,0.31297088,0.15567371,0.31297088,1
NYANGA,0.17232274,0.2937523,0.1723227,0.29375234,1
NYONG,0.14829467,0.25633812,0.14829467,0.25633812,1
OB,0.2701591,0.46667024,0.27015907,0.46666998,2
OCONA,0.17072138,0.27188462,0.1707214,0.27188462,1
ODER,0.17683247,0.29147026,0.17683244,0.2914701,2
OGOOUE,0.1902005,0.34978533,0.19020037,0.34978527,3
OIAPOQUE (also OYAPOK),0.17889181,0.27667823,0.17889178,0.27667826,5
OKAVANGO (also CUBANGO),0.27528957,0.61432284,0.27528957,0.61432254,1
OLENEK,0.18871668,0.37927204,0.18871659,0.37927198,1
OLFUSA,0.14935045,0.25859034,0.14935043,0.2585903,2
OLIFANTS,0.18433316,0.35813326,0.18433319,0.3581328,3
OMOLOY,0.13120925,0.26980644,0.13120925,0.26980639,2
ONEGA,0.19188964,0.441457,0.19188961,0.4414571,1
ORANGE,0.22090903,0.46479726,0.22090897,0.4647973,3
ORD,0.19989567,0.350726,0.19989562,0.3507262,2
ORINOCO,0.23527665,0.4781513,0.2352767,0.4781509,2
ORONTES,0.15489523,0.26080734,0.15489525,0.2608074,5
OUEME,0.21741073,0.34423584,0.21741074,0.3442358,3
OULUJOKI,0.17814946,0.28116962,0.17814943,0.2811694,1
PAHANG,0.15168741,0.26153213,0.15168734,0.2615321,2
PALENA (also CORCOVADO),0.13582458,0.26943323,0.13582458,0.26943314,3
PALYAVAAM,0.19405004,0.26962265,0.19404985,0.26962253,1
PANGANI,0.1880318,0.31146652,0.18803176,0.3114665,1
PANUCO,0.19152585,0.29307723,0.19152582,0.29307726,2
PAPALOAPAN,0.20632222,0.26248208,0.20632224,0.26248208,2
PARAGUACU,0.16107325,0.32116112,0.16107324,0.3211611,1
PARAIBA DO SUL,0.19419754,0.2837782,0.19419748,0.28377813,2
PARAIBA,0.18023688,0.26810732,0.18023668,0.2681073,2
PARANA,0.22120604,0.46378025,0.22120667,0.46378037,1
PARNAIBA,0.19918941,0.31782377,0.19918942,0.3178237,1
PASCUA,0.15148972,0.27297676,0.1514897,0.27297676,1
PATIA,0.16119923,0.27700084,0.16119921,0.2770008,1
PATUCA,0.18552163,0.283364,0.1855216,0.28336397,2
PEARL,0.1662239,0.2511505,0.1662239,0.2511505,1
PECHORA,0.22728057,0.43460563,0.22728045,0.43460578,1
PEE DEE,0.17359965,0.31017962,0.17359962,0.31017965,1
PENNER,0.18555743,0.28875738,0.18555744,0.2887573,2
PENOBSCOT,0.15411048,0.26058465,0.15411048,0.26058465,4
PERAK,0.16405246,0.24992593,0.16405244,0.24992591,2
PINDARE,0.23245195,0.2732943,0.23245192,0.2732942,1
PIVDENNY BUH (also SOUTHERN BUG),0.16219951,0.2752338,0.1621995,0.27523375,1
PO,0.19784705,0.31312215,0.19784701,0.31312224,1
PONOY,0.13368423,0.25212678,0.13368423,0.2521268,1
POOPO,0.15455905,0.2549864,0.15455905,0.25498635,3
POPIGAY,0.19790828,0.36876744,0.19790818,0.36876735,4
POTOMAC,0.16508856,0.2783758,0.16508855,0.2783758,1
PRA,0.17812306,0.2771779,0.17812303,0.27717793,2
PUELO,0.17528825,0.2897457,0.17528829,0.28974563,2
PULAU (also EILANDEN),0.1819274,0.33279142,0.1819273,0.3327914,2
PUNGWE  (also PUNGOE),0.17199676,0.29040897,0.17199674,0.29040897,1
PUR,0.1741832,0.41194263,0.17418316,0.4119425,2
