Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,SurplusFRI,SurplusDRI,RelSurplusFRI,RelSurplusDRI
"BALEINE, GRANDE RIVIERE DE LA",-0.6096893548965454,0.7734571695327759,-0.9933746457099916,0.4898598194122314,0.3836852908134461,0.2835973501205445,-0.6293127602310712,-0.36666199667120264
"BALEINE, RIVIERE DE LA",0.1215957328677177,0.2367515712976455,0.1131070330739021,0.2226080894470214,0.0084886997938155,0.0141434818506241,-0.06981083623263604,-0.05973975916232818
BANCANNIA LAKE,-5.58723783493042,4.555729389190674,-8.474148750305176,2.3741517066955566,2.886910915374756,2.181577682495117,-0.5166973378735197,-0.4788646331082178
BANDAMA,-2.8817689418792725,2.5168397426605225,-4.420876502990723,1.3560620546340942,1.5391075611114502,1.1607776880264282,-0.5340843045201814,-0.4612044495130959
BARAKA,0.0220684856176376,0.318916767835617,-0.0458745807409286,0.2692130506038666,0.0679430663585662,0.0497037172317504,-3.0787371428995867,-0.155851689985049
BENGAWAN SOLO,-1.1821483373641968,1.202009677886963,-1.8777432441711424,0.6905410289764404,0.6955949068069456,0.5114686489105225,-0.5884159244836348,-0.42551125695563746
BIA,-3.219477891921997,2.7649519443511963,-4.911849021911621,1.4769318103790283,1.692371129989624,1.288020133972168,-0.5256663306295589,-0.46583816279469026
BIOBIO,-0.7975741028785706,0.9215559363365172,-1.2964448928833008,0.546922504901886,0.4988707900047302,0.3746334314346312,-0.6254851909110727,-0.40652272603649026
BLACKWOOD,-1.038380146026611,1.1182560920715332,-1.648396372795105,0.6684052348136902,0.6100162267684939,0.449850857257843,-0.5874690777772832,-0.4022789238058242
BRAHMANI,-9.544187545776367,7.552911758422852,-14.41047477722168,3.863107919692993,4.8662872314453125,3.6898038387298575,-0.5098691961055201,-0.48852733313282326
BRAHMAPUTRA,-0.6096664071083069,0.7874985933303833,-0.999263882637024,0.4985067248344421,0.3895974755287171,0.2889918684959412,-0.6390338568539587,-0.36697445677175833
BRANTAS,-2.552943706512451,2.242229461669922,-3.9288864135742174,1.203949213027954,1.3759427070617671,1.0382802486419678,-0.5389631990520569,-0.4630570895579521
BRAZOS,-0.0757384970784187,0.406684547662735,-0.1947815865278244,0.318069577217102,0.1190430894494057,0.0886149704456329,-1.571764611676278,-0.2178960842129702
BULLER,-0.5940629839897156,0.7694100141525269,-0.9862411618232728,0.4778420329093933,0.3921781778335572,0.2915679812431335,-0.6601626231610933,-0.37895007327696867
BULUNGAN,-4.502499103546143,3.722257137298584,-6.843544483184815,1.9503196477890008,2.3410453796386728,1.7719374895095827,-0.519943552636108,-0.47603844230803494
BURDEKIN,-0.7990021705627441,0.935908019542694,-1.2906864881515503,0.5748432278633118,0.4916843175888061,0.3610647916793822,-0.6153729435334433,-0.3857908941263338
BUZI (also BUDZI),-18.027158737182617,13.980127334594728,-27.136831283569336,7.072762489318848,9.10967254638672,6.907364845275881,-0.5053304671688063,-0.49408454443638433
CANCOSA,-1.639858961105347,1.565094232559204,-2.550333499908448,0.8739028573036194,0.9104745388031008,0.6911913752555847,-0.5552151498378836,-0.4416292392346021
CANDELARIA,-0.2449241876602172,0.5472943186759949,-0.4913989901542663,0.3690429627895355,0.2464748024940491,0.1782513558864593,-1.0063309991905864,-0.32569560801888464
CANETE,0.1250803768634796,0.2531195282936096,0.1162665635347366,0.2383640557527542,0.0088138133287429,0.0147554725408554,-0.07046519645813762,-0.058294484982366064
CANIAPISCAU,-0.2871274352073669,0.5510509014129639,-0.5028764605522156,0.3930603563785553,0.2157490253448487,0.1579905450344085,-0.7514051215239399,-0.2867077154384485
CAPE FEAR,-1.7125229835510254,1.6214014291763306,-2.6589715480804443,0.9092972278594972,0.946448564529419,0.7121042013168334,-0.5526632772933053,-0.43919055978542043
CAPIM,-1.484125733375549,1.4571080207824707,-2.331381559371948,0.8188748359680176,0.8472558259963987,0.6382331848144531,-0.5708787381978544,-0.4380136377752696
CATATUMBO,-0.0212923642247915,0.3510399758815765,-0.1232607662677764,0.2838084697723388,0.1019684020429849,0.0672315061092376,-4.788965704628482,-0.19152093985990432
CAUVERY,-0.0839119330048561,0.3942056894302368,-0.1936562806367874,0.3091341853141784,0.1097443476319312,0.0850715041160584,-1.3078515021883745,-0.21580486126168313
CAVALLY,-1.304007887840271,1.302471160888672,-2.056688070297241,0.7396731376647949,0.7526801824569702,0.5627980232238772,-0.5772052373882317,-0.4321001801221317
CESTOS (also NUON),-5.869289875030518,4.756136417388916,-8.886919021606445,2.472208499908448,3.017629146575928,2.2839279174804683,-0.514138713682162,-0.48020656201748046
CHAD,-1.85856568813324,1.7545374631881714,-2.884252548217773,0.9838920831680298,1.025686860084533,0.7706453800201416,-0.5518701150211925,-0.4392299373418914
CHANGUINOLA,0.1141034364700317,0.2353827506303787,0.1068437919020652,0.2300405204296112,0.0072596445679665,0.0053422302007674,-0.06362336483943835,-0.022695929019694347
CHAO PHRAYA,-0.0216435566544532,0.3477083444595337,-0.1018791049718856,0.2883318066596985,0.0802355483174324,0.0593765377998352,-3.7071332405491586,-0.17076535189895464
CHELIF,0.1149575188755989,0.268798828125,0.0970023795962333,0.2576445341110229,0.0179551392793655,0.0111542940139771,-0.15618934241957433,-0.04149681042802019
CHERGUI,-0.0006311333272606,0.3297690451145172,-0.0747622698545456,0.2813365161418915,0.074131136527285,0.0484325289726257,-117.45717319198968,-0.14686802685135839
CHEW BAHIR (also LAKE STEFANIE),-0.3952204883098602,0.6223944425582886,-0.6662698984146118,0.4185447692871094,0.2710494101047516,0.2038496732711792,-0.6858182157101225,-0.3275248931100284
CHICO,0.0914889499545097,0.2684584856033325,0.0663910061120987,0.2541096806526184,0.025097943842411,0.0143488049507141,-0.2743275975392684,-0.05344887839349412
"CHILOANGO (also SHILOANGO, also LOUANGO)",-19.68216896057129,15.264122009277344,-29.62489891052246,7.725527286529541,9.942729949951172,7.538594722747803,-0.505164342906981,-0.49387673383152586
CHIRA,0.0677761733531951,0.2901739478111267,0.0171979628503322,0.2654877305030823,0.0505782105028628,0.0246862173080444,-0.7462535578585971,-0.0850738582641906
CHOLUTECA,0.0305690672248601,0.3285592794418335,-0.0412948988378047,0.290020614862442,0.0718639660626647,0.0385386645793914,-2.3508720607680784,-0.11729592493890946
CHUBUT,-0.1086705401539802,0.4045057892799377,-0.2389892935752868,0.3119852542877197,0.1303187534213066,0.0925205349922179,-1.1992095855661717,-0.22872487228653543
CHURCHILL,-0.6346779465675354,0.8083682656288147,-1.032827615737915,0.5126844048500061,0.3981496691703796,0.2956838607788086,-0.6273255141818812,-0.3657786597409308
CHUY (also SHU),0.1073215007781982,0.2473000288009643,0.0969268530607223,0.2404963970184326,0.0103946477174759,0.0068036317825317,-0.09685522138717169,-0.027511649778284138
CISNES,-0.3134274184703827,0.5614893436431885,-0.567539393901825,0.3803550899028778,0.2541119754314422,0.1811342537403106,-0.8107522203117484,-0.3225960666769424
CLUTHA,-0.3257008194923401,0.5726034045219421,-0.575526773929596,0.3901415169239044,0.2498259544372558,0.1824618875980377,-0.767041221531625,-0.3186531657987126
COCO,0.0125296898186206,0.3326755464076996,-0.0790145546197891,0.2809555828571319,0.0915442444384097,0.0517199635505676,-7.306186008081711,-0.1554666825050735
COIG,0.1255091875791549,0.2368005961179733,0.1201686561107635,0.2284939289093017,0.0053405314683914,0.0083066672086715,-0.04255092054534497,-0.03507874281082148
COLORADO (also COLORADO RIVER),-0.4215092658996582,0.6590677499771118,-0.7126571536064148,0.4420406222343445,0.2911478877067566,0.2170271277427673,-0.6907271352275928,-0.32929410936933917
COLORADO,-0.1520498394966125,0.4550988376140594,-0.3150342404842376,0.3391975164413452,0.1629844009876251,0.1159013211727141,-1.071914324455806,-0.2546728569564108
COLUMBIA,-0.9937511682510376,1.0699985027313232,-1.5853326320648191,0.6295595765113831,0.5915814638137815,0.4404389262199402,-0.5953014021155228,-0.41162574068623203
COLVILLE,-0.9320663213729858,1.0439121723175049,-1.4770973920822144,0.6342061758041382,0.5450310707092285,0.4097059965133667,-0.5847556747961532,-0.3924717111055536
COMOE (also KOMOE),-3.576331615447998,3.035696029663086,-5.449865818023682,1.6144806146621704,1.873534202575684,1.4212154150009155,-0.5238703800517086,-0.46816789333108816
CONCEPCION,0.0441051311790943,0.3145257532596588,-0.0345448814332485,0.27100270986557,0.0786500126123428,0.0435230433940888,-1.7832395122684201,-0.13837672414111687
