Basin,Pearson_Degree,Spearman_Degree,Pearson_Betweenness,Spearman_Betweenness,Pearson_EdgeBetweenness,Spearman_EdgeBetweenness
BANDAMA,0.46113822298857154,0.4696014423955617,0.34609969381054495,0.44214169972973255,0.005151478270581374,-0.03168334167788208
BARAKA,0.10952991684286219,0.5017508410265872,0.03507078564503869,0.45431363103046696,0.03777493449858142,-0.14852424649215282
BARIMA,,,,,,
BENGAWAN SOLO,0.178811137415034,0.3944053188733078,0.11983309456250166,0.3161680045562237,-0.7562994447257735,-0.566946709513841
BIA,0.8224414368339055,0.7324670207647144,0.8425673988451268,0.7698003589195012,0.35258925894202087,0.40824829046386296
BIOBIO,0.06139673755213257,0.27039102720701774,-0.01748225617632899,0.19932193008173296,-0.11123972888440992,-0.11541381904153111
BLACKWOOD,0.6179056766087874,0.7515933898832221,0.5540511907760542,0.7048341669979354,-0.13319119831430998,-0.03857583749052298
BRAHMANI,0.14548429864679654,0.44051038497154305,0.2181236677171179,0.41250779455804537,0.4280090773142978,0.07708084402099837
BRAHMAPUTRA,0.5393230878909269,0.5495921453761815,0.2988558963670264,0.5100183112463252,-0.05424405024748306,-0.06612167393755705
BRANTAS,-0.15890804966439592,0.28426762180748055,-0.19063634779485764,0.1651445647689541,-0.1094066300158636,-0.26352313834736496
BRAZOS,0.598117248165846,0.6164455985305595,0.3834849962216208,0.5711197858935717,0.1195550687327687,-0.01604514745209075
BULLER,0.5789943847474539,0.7324670207647144,0.5966384841478348,0.728561053977385,0.1598900816919501,0.47809144373375745
BULUNGAN,0.2350413019053502,0.4604435704551633,0.335896293488771,0.5204316126524265,0.15302478713623982,0.46326898735030403
BURDEKIN,0.5040218392558423,0.511569664784374,0.22164663730230572,0.42599156332879196,-0.18667474939972134,-0.10656618946925327
BUZI (also BUDZI),0.31788557055086586,0.6069265098508948,0.17072321693790632,0.5355506680903119,0.3343811950561269,0.2721683992517267
CANCOSA,0.1273601575774638,0.49377071987869414,0.06755989317171748,0.41907434299817714,-0.36301086980767494,-0.3360006769462351
CANDELARIA,0.09562969446804456,0.23231068414572317,0.0145458744506618,0.1530124981473578,0.08168606098481396,-0.035978654346153
CANETE,-0.07247914268782822,0.2581988897471611,-0.07247914268782822,0.2581988897471611,-0.4876110776078549,0.0
CANIAPISCAU,0.7081427707865519,0.7425118902110862,0.5031104395812153,0.6990414199756393,-0.011233073164685444,-0.03474966683345349
CAPE FEAR,-0.12556334949012252,0.38053905533605825,-0.1464415656443363,0.34101897600987496,-0.16272442717182414,-0.18609684207969412
CAPIM,0.052612432716424504,0.6253674215221012,0.11288570724323263,0.6037109682111579,-0.1614978000647869,0.20102585306903137
CATATUMBO,0.23742614100070625,0.38053905533605825,0.12471006318588812,0.34211816745684515,0.0017911229132738205,0.10910436599953367
CAUVERY,-0.09807112505539847,0.6442779897017273,-0.041947050038662656,0.6517432960035201,-0.033865136275555346,0.18431908858422913
CAVALLY,0.39283802751219665,0.5496675243743063,0.39116449187444474,0.5761507983024279,-0.22464826922400352,-0.18609684207969412
CESTOS (also NUON),0.8598090695117683,0.8528028654224415,0.7442912613301617,0.7981987297166114,-0.2529674671667724,-0.4107919181288746
CHAD,0.627240780112349,0.6532379189591075,0.17860902779769694,0.6264073285510912,-0.05280725097663166,-0.004771143972056381
CHANGUINOLA,0.34419516204174605,0.2581988897471611,0.34419516204174605,0.2581988897471611,0.05914249166163672,0.0
CHAO PHRAYA,0.5378104261967818,0.5471920287730395,0.3867596244273134,0.5261669677244725,0.08329844844088431,0.07403188924121679
CHELIF,0.0372732896219803,0.37761009366416687,-0.04509334797113685,0.31105105819107076,-0.2424255242151585,-0.43150857772344475
CHERGUI,0.008882306589797476,0.42189273886561346,0.0498175617216192,0.4247921941399814,-0.13102677499678117,-0.11975949639374459
