Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,SurplusFRI,SurplusDRI
BLACKWOOD,-1.038380146026611,1.1182560920715332,-1.648396372795105,0.6684052348136902,0.6100162267684939,0.449850857257843
BRAHMANI,-9.544187545776367,7.552911758422852,-14.41047477722168,3.863107919692993,4.8662872314453125,3.6898038387298584
BRAHMAPUTRA,-0.6096664071083069,0.7874985933303833,-0.999263882637024,0.4985067248344421,0.38959747552871715,0.2889918684959412
BRANTAS,-2.552943706512451,2.242229461669922,-3.9288864135742183,1.203949213027954,1.3759427070617671,1.0382802486419678
BRAZOS,-0.0757384970784187,0.406684547662735,-0.1947815865278244,0.318069577217102,0.1190430894494057,0.08861497044563299
BULLER,-0.5940629839897156,0.7694100141525269,-0.9862411618232728,0.4778420329093933,0.39217817783355724,0.29156798124313354
BULUNGAN,-4.502499103546143,3.722257137298584,-6.843544483184815,1.9503196477890012,2.3410453796386728,1.7719374895095827
BURDEKIN,-0.7990021705627441,0.935908019542694,-1.2906864881515503,0.5748432278633118,0.49168431758880615,0.3610647916793822
BUZI (also BUDZI),-18.027158737182617,13.980127334594728,-27.136831283569336,7.072762489318848,9.109672546386719,6.907364845275881
CANCOSA,-1.639858961105347,1.565094232559204,-2.5503334999084477,0.8739028573036194,0.9104745388031008,0.6911913752555847
CANDELARIA,-0.2449241876602172,0.5472943186759949,-0.4913989901542663,0.3690429627895355,0.2464748024940491,0.17825135588645935
CANETE,0.1250803768634796,0.2531195282936096,0.1162665635347366,0.2383640557527542,0.008813813328742981,0.014755472540855408
CANIAPISCAU,-0.2871274352073669,0.5510509014129639,-0.5028764605522156,0.3930603563785553,0.2157490253448487,0.15799054503440857
CAPE FEAR,-1.7125229835510254,1.6214014291763306,-2.6589715480804443,0.9092972278594972,0.946448564529419,0.7121042013168334
CAPIM,-1.484125733375549,1.4571080207824707,-2.331381559371948,0.8188748359680176,0.8472558259963987,0.6382331848144531
CATATUMBO,-0.0212923642247915,0.3510399758815765,-0.1232607662677764,0.2838084697723388,0.10196840204298491,0.06723150610923767
CAUVERY,-0.0839119330048561,0.3942056894302368,-0.1936562806367874,0.3091341853141784,0.10974434763193129,0.0850715041160584
CAVALLY,-1.304007887840271,1.302471160888672,-2.056688070297241,0.7396731376647949,0.7526801824569702,0.5627980232238772
CESTOS (also NUON),-5.869289875030518,4.756136417388916,-8.886919021606445,2.4722084999084477,3.0176291465759277,2.2839279174804683
CHAD,-1.85856568813324,1.7545374631881714,-2.884252548217773,0.9838920831680298,1.025686860084533,0.7706453800201416
CHANGUINOLA,0.1141034364700317,0.2353827506303787,0.1068437919020652,0.2300405204296112,0.007259644567966503,0.005342230200767489
CHAO PHRAYA,-0.0216435566544532,0.3477083444595337,-0.1018791049718856,0.2883318066596985,0.0802355483174324,0.059376537799835205
CHELIF,0.1149575188755989,0.268798828125,0.0970023795962333,0.2576445341110229,0.017955139279365595,0.011154294013977106
CHERGUI,-0.0006311333272606,0.3297690451145172,-0.0747622698545456,0.2813365161418915,0.074131136527285,0.04843252897262573
CHEW BAHIR (also LAKE STEFANIE),-0.3952204883098602,0.6223944425582886,-0.6662698984146118,0.4185447692871094,0.27104941010475164,0.2038496732711792
CHICO,0.0914889499545097,0.2684584856033325,0.0663910061120987,0.2541096806526184,0.025097943842411,0.014348804950714111
"CHILOANGO (also SHILOANGO, also LOUANGO)",-19.68216896057129,15.264122009277344,-29.62489891052246,7.725527286529541,9.942729949951172,7.538594722747803
CHIRA,0.0677761733531951,0.2901739478111267,0.0171979628503322,0.2654877305030823,0.05057821050286289,0.024686217308044434
CHOLUTECA,0.0305690672248601,0.3285592794418335,-0.0412948988378047,0.290020614862442,0.07186396606266479,0.03853866457939148
CHUBUT,-0.1086705401539802,0.4045057892799377,-0.2389892935752868,0.3119852542877197,0.1303187534213066,0.09252053499221796
CHURCHILL,-0.6346779465675354,0.8083682656288147,-1.032827615737915,0.5126844048500061,0.39814966917037964,0.2956838607788086
CHUY (also SHU),0.1073215007781982,0.2473000288009643,0.0969268530607223,0.2404963970184326,0.010394647717475905,0.0068036317825317105
CISNES,-0.3134274184703827,0.5614893436431885,-0.567539393901825,0.3803550899028778,0.25411197543144226,0.18113425374031067
CLUTHA,-0.3257008194923401,0.5726034045219421,-0.575526773929596,0.3901415169239044,0.24982595443725586,0.18246188759803772
COCO,0.0125296898186206,0.3326755464076996,-0.0790145546197891,0.2809555828571319,0.0915442444384097,0.05171996355056768
COIG,0.1255091875791549,0.2368005961179733,0.1201686561107635,0.2284939289093017,0.0053405314683914185,0.008306667208671598
COLORADO (also COLORADO RIVER),-0.4215092658996582,0.6590677499771118,-0.7126571536064148,0.4420406222343445,0.2911478877067566,0.21702712774276733
COLORADO,-0.1520498394966125,0.4550988376140594,-0.3150342404842376,0.3391975164413452,0.16298440098762512,0.11590132117271418
COLUMBIA,-0.9937511682510376,1.0699985027313232,-1.5853326320648191,0.6295595765113831,0.5915814638137815,0.4404389262199402
COLVILLE,-0.9320663213729858,1.0439121723175049,-1.4770973920822144,0.6342061758041382,0.5450310707092285,0.4097059965133667
COMOE (also KOMOE),-3.576331615447998,3.035696029663086,-5.449865818023682,1.6144806146621704,1.8735342025756836,1.4212154150009155
CONCEPCION,0.0441051311790943,0.3145257532596588,-0.0345448814332485,0.27100270986557,0.0786500126123428,0.0435230433940888
CONGO,-12.469170570373535,9.77677059173584,-18.801082611083984,4.979489803314209,6.331912040710449,4.797280788421631
CONNECTICUT,-0.0322064831852912,0.3666180372238159,-0.1207735016942024,0.3024287521839142,0.08856701850891119,0.06418928503990173
COPIAPO,0.0740395039319992,0.3050592541694641,0.0235163383185863,0.2698241472244262,0.050523165613412906,0.0352351069450379
COPPENAME RIVIER,0.0693850964307785,0.29055917263031,0.0218505915254354,0.259903609752655,0.047534504905343104,0.03065556287765503
COPPERMINE,-0.3005937933921814,0.5540942549705505,-0.5388510823249817,0.3827956914901733,0.2382572889328003,0.17129856348037725
COPPER,0.1219023838639259,0.2354751229286193,0.1167236194014549,0.2341027110815048,0.005178764462471008,0.0013724118471145075
CORUBAL (also KOLIBA),-3.856647729873657,3.2510664463043213,-5.886792182922363,1.7229561805725098,2.0301444530487065,1.5281102657318115
COSAPILLA,0.0751093849539756,0.273423284292221,0.0491208955645561,0.2520281970500946,0.025988489389419493,0.02139508724212641
COURANTYNE,-0.0659241154789924,0.386331558227539,-0.1817963421344757,0.3045999705791473,0.1158722266554833,0.08173158764839172
CROSS,-1.76449716091156,1.654062032699585,-2.7475340366363525,0.916076362133026,0.9830368757247925,0.737985670566559
CUANZA,-18.256053924560547,14.161944389343262,-27.47829818725586,7.169722080230713,9.222244262695312,6.992222309112549
CUVELAI,-16.138696670532227,12.5770845413208,-24.309154510498047,6.386173725128174,8.17045783996582,6.190910816192627
CUYUNI,-1.3671804666519165,1.3601866960525513,-2.1368038654327397,0.7863364815711975,0.7696233987808232,0.5738502144813538
DALING HE,-0.2549928426742553,0.5262921452522278,-0.4818692505359649,0.3634254932403564,0.2268764078617096,0.1628666520118714
DALY,0.1231899783015251,0.2571550011634826,0.111336626112461,0.2411425560712814,0.011853352189064095,0.016012445092201205
DAMODAR,-6.136614799499512,4.972612380981445,-9.30212688446045,2.5739850997924805,3.1655120849609375,2.398627281188965
DANUBE,-0.3015457093715668,0.5581334233283997,-0.5455824732780457,0.3858871161937713,0.24403676390647888,0.17224630713462835
DAOURA,0.0426063723862171,0.3069713413715362,-0.0274793896824121,0.2630976736545563,0.07008576206862921,0.043873667716979925
DASHT KAUR,-0.1062458455562591,0.4353158175945282,-0.2585874795913696,0.3324766457080841,0.15234163403511047,0.10283917188644409
