Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto,FRI_improve,DRI_improve
HAYES,0.17853269,0.31915045,0.17853273,0.3191504,3,0.999994174770224,0.999997023356313
HINGOL,0.14378595,0.28692102,0.14378597,0.28692102,1,0.9999929061722351,0.9999965147324699
HODNA,0.16363879,0.39107865,0.16363877,0.39107883,1,0.9999940112357774,0.9999969827132227
HONDO,0.15277311,0.24920306,0.15277307,0.24920304,1,0.9999937162111344,0.999996067479484
HORNADAY,0.16849603,0.266686,0.16849586,0.2666859,1,0.9999950740921818,0.9999966252560588
HORTON,0.1670932,0.26647967,0.16709308,0.2664796,1,0.9999947335058189,0.999996510064898
HUAI HE,0.1637701,0.29929718,0.16377003,0.29929712,1,0.999994321339983,0.9999968593187287
HUASCO,0.17845199,0.2627006,0.17845194,0.2627005,1,0.9999946764676446,0.9999965740583896
HUDSON,0.16980182,0.27424788,0.1698018,0.2742479,1,0.9999942285992928,0.9999962807508072
IIJOKI,0.14722401,0.26195794,0.14722396,0.2619579,1,0.9999935472898074,0.9999963353029807
INCOMATI (also KOMATI),0.14686254,0.2766356,0.14686254,0.27663547,3,0.9999931909580826,0.9999968550784356
INDIGIRKA,0.19145054,0.6418317,0.1914505,0.6418317,1,0.9999949856752233,0.999998441961589
INDUS,0.27051926,0.35885042,0.2705192,0.35885036,2,0.9999965252132743,0.9999973805310367
IRRAWADDY,0.3615264,0.3379948,0.3615258,0.33799464,1,0.9999988935813335,0.9999975147608413
ISHIKARI,0.15929909,0.27155775,0.1592991,0.27155775,1,0.9999936597654364,0.9999963175555935
ITAPECURU,0.18848827,0.26730874,0.18848825,0.26730874,1,0.9999948007644999,0.9999962590214634
ITAPICURU,0.17538935,0.32174012,0.17538938,0.32174,3,0.9999941273860059,0.9999972648807581
JACUI,0.1987935,0.27552623,0.1987935,0.2755263,1,0.9999949696797447,0.9999961165372724
JAGUARIBE,0.1798039,0.29540184,0.1798038,0.2954018,1,0.9999949945718911,0.9999967502000661
JAMES,0.17675377,0.2621534,0.17675376,0.26215336,4,0.9999943990192965,0.9999963380353468
JEQUITINHONHA,0.18984622,0.2743643,0.18984622,0.27436423,2,0.9999947326065665,0.999996610357661
JOKULSA A FJOLLUM,0.15206134,0.2439213,0.15206131,0.24392131,3,0.9999936210360081,0.9999958593373439
JUBBA (also GENALE WENZ),0.21273248,0.37960362,0.21273248,0.3796035,2,0.9999952992824637,0.9999976817977659
KALIXALVEN,0.125384,0.27400908,0.12538399,0.27400905,1,0.9999921043180686,0.9999964599838586
KAMCHATKA,0.17962897,0.33529752,0.17962901,0.33529752,2,0.9999942103215381,0.9999970175830183
KAPUAS,0.21308284,0.41222847,0.2130829,0.41222847,1,0.9999950254336437,0.9999975741666408
KARNAPHULI,0.16641146,0.26382574,0.16641147,0.2638257,1,0.9999939307432911,0.9999963612477434
KELANTAN,0.17010386,0.2391188,0.17010382,0.2391188,2,0.9999943564209409,0.999995817995833
KEM,0.12777616,0.2607876,0.12777616,0.2607876,3,0.9999921738752059,0.9999961654765586
KEMIJOKI,0.1497576,0.39267117,0.14975756,0.3926712,1,0.999993589681952,0.9999973769469803
KHATANGA,0.2300123,0.3186974,0.23001239,0.31869727,2,0.9999952611454489,0.9999972701452069
KINABATANGAN,0.15909293,0.25091264,0.15909292,0.25091264,2,0.9999937772606269,0.9999960145650114
KISO,0.13539958,0.27561846,0.13539958,0.27561843,1,0.9999926145072643,0.9999964806545025
KITAKAMI,0.20959473,0.2822399,0.20959467,0.28223985,1,0.9999955151745262,0.9999966340804317
KIZILIRMAK,0.16350998,0.27985433,0.16350994,0.27985433,1,0.9999941288332145,0.9999964267251942
KLAMATH,0.17804949,0.40549323,0.17804927,0.40549308,3,0.9999956192147307,0.9999979037918384
KOBUK,0.15264046,0.26309192,0.15264046,0.2630919,4,0.9999934486999796,0.9999962750800193
KOKEMAENJOKI,0.17695506,0.27577856,0.17695498,0.27577847,1,0.9999948009668844,0.9999967002619884
KOLOK,0.15113957,0.26532865,0.15113959,0.26532862,2,0.9999932513165392,0.9999963441699423
KOLYMA,0.2798858,0.8385647,0.27988583,0.8385642,2,0.9999963199411707,0.9999994037434419
